SNo,LGD State Code,LGD State Name,LGD District Code,LGD District Name,Census 2001 Code,Census 2011 Code,comment
631,36,Telangana,501,Adilabad,01,532,
334,23,Madhya Pradesh,667,Agar-Malwa,22,436,"It was created by removing parts of the Shajapur district, including the tehsils of Agar, Badod, Susner, and Nalkheda"
688,9,Uttar Pradesh,118,Agra,15,146,
175,24,Gujarat,438,Ahmedabad,07,474,
389,27,Maharashtra,466,Ahmednagar,26,522,
453,15,Mizoram,261,Aizawl,03,283,
537,8,Rajasthan,86,Ajmer,21,119,
390,27,Maharashtra,467,Akola,05,501,
317,32,Kerala,554,Alappuzha,11,598,
689,9,Uttar Pradesh,119,Aligarh,12,143,
763,19,West Bengal,664,Alipurduar,02,328,"The Alipurduar district was created in 2014 by splitting the Jalpaiguri district in West Bengal, India"
335,23,Madhya Pradesh,639,Alirajpur,24,465,
4,28,Andhra Pradesh,745,Alluri Sitharama Raju,13,544,"formed on April 4, 2022,from erstwhile Vishakapatnam"
675,5,Uttarakhand,45,Almora,09,064,
538,8,Rajasthan,87,Alwar,06,104,
208,6,Haryana,58,Ambala,02,070,
690,9,Uttar Pradesh,121,Ambedkar Nagar,48,178,
691,9,Uttar Pradesh,640,Amethi,multiple ,multiple,"the Amethi district in Uttar Pradesh was formed by merging parts of two other districts, Sultanpur and Rae Bareli"
391,27,Maharashtra,468,Amravati,07,503,
176,24,Gujarat,439,Amreli,13,480,
514,3,Punjab,27,Amritsar,02,049,
692,9,Uttar Pradesh,154,Amroha,06,137,Name changed from Jyothi Bhai Phule Nagar to Amroha
5,28,Andhra Pradesh,744,Anakapalli,13,544,"formed on April 4, 2022, from erstwhile Vishakapatnam"
177,24,Gujarat,440,Anand,15,482,
6,28,Andhra Pradesh,502,Ananthapuramu,22,553,
242,1,Jammu And Kashmir,1,Anantnag,06,014,
30,12,Arunachal Pradesh,628,Anjaw,11,260,
7,28,Andhra Pradesh,753,Annamayya,multiple ,multiple," formed on April 4, 2022 ,combining parts of the erstwhile Chittoor and YSR districts"
480,21,Odisha,344,Anugul,15,384,
539,8,Rajasthan,776,Anupgarh,01,099,Anupgarh district is a new north-west district of Rajasthan state in India. It was established on 7 August 2023 after curving it out of Sri Ganganagar District.
336,23,Madhya Pradesh,390,Anuppur,16,461,
90,10,Bihar,188,Araria,07,209,
593,33,Tamil Nadu,610,Ariyalur,17,616,
178,24,Gujarat,672,Arvalli,05,472,"The Arvalli district in Gujarat, India was formed on August 15, 2013, after being carved out of the Sabarkantha district"
91,10,Bihar,611,Arwal,33,240,
337,23,Madhya Pradesh,391,Ashoknagar,46,459,
693,9,Uttar Pradesh,122,Auraiya,32,162,
92,10,Bihar,189,Aurangabad,34,235,
694,9,Uttar Pradesh,140,Ayodhya,47,177,Name changed from faizabad to Ayodhya
695,9,Uttar Pradesh,123,Azamgarh,61,191,
286,29,Karnataka,524,Bagalkote,02,556,
676,5,Uttarakhand,46,Bageshwar,08,063,
696,9,Uttar Pradesh,124,Baghpat,08,139,
697,9,Uttar Pradesh,125,Bahraich,50,180,
55,18,Assam,739,Bajali,05,303,"Bajali was a newly created district in the Indian state of Assam, but was remerged with the Barpeta district in December 2022"
56,18,Assam,616,Baksa,multiple ,324,"Created from parts of Nalbari, Barpeta, Kamrup, and a small portion of Darrang districts in June 2004"
338,23,Madhya Pradesh,392,Balaghat,45,457,
481,21,Odisha,345,Balangir,24,393,
482,21,Odisha,346,Baleshwar,08,377,Name changed from Balasore to Baleshwar
287,29,Karnataka,528,Ballari,12,565,
698,9,Uttar Pradesh,126,Ballia,63,193,
129,22,Chhattisgarh,646,Balod,10,409,"Balod became a district in Chhattisgarh, India on January 1, 2012, after being carved out of the Durg district"
