srcYear,srcStateName,srcDistrictName,Households that applied for a Job Card,Job Cards issued,Job Cards issued for Scheduled Caste,Job Cards issued for Scheduled Tribes,Job Cards issued for non Scheduled Tribes or Scheduled Caste,Households that demanded work,Persons who demanded work,Households that were allotted work,Persons that were allotted work,Muster Rolls filled,Households that worked under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),Persons that worked under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),Households that reached a 100 day limit,Persons with disability,Non Scheduled Tribes or Scheduled Caste households that worked,Total Person days worked by non Scheduled Tribes or Scheduled Caste persons,Scheduled Caste households that worked,Total Person days worked Scheduled Caste persons,Scheduled Tribe households that worked,Total Person days worked Scheduled Tribe persons,Households that worked on land reform or Indira Awas Yojana,Total Person days worked by women,Total Person days,Scheduled Caste households that reached a 100 Day Limit,Scheduled Tribe households that reached a 100 Day Limit,Labour expenditure that has been disbursed,Material expenditure that has been disbursed,Labour expenditure both disbursed and pending,Material expenditure both disbursed and pending,Amount sanctioned,Works under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),Total bank accounts,Individual bank accounts,Joint bank accounts,Amount disbursed to bank accounts,Post office accounts,Individual post office accounts,Joint post office accounts,Amount disbursed to post office accounts,Year,YearCode
2011-12,TAMIL NADU,TIRUPPUR,219804,219151,81717,1179,136255,154934,214832,154931,214827,18562,154393,213856,12427,207,92175,3761524,61315,2605287,903,37779,250,4401997,6404590,5296,68,7137.430,0.000,7137.430,0.000,16078.580,18160,85997,85693,304,0,0,0,0,0,"Financial Year (Apr - Mar), 2011",2011
2011-12,TAMIL NADU,TIRUNELVELI,304935,303377,83529,274,219574,196440,264006,196343,263867,22728,195229,261795,12604,306,134764,6415899,60289,2812027,176,7370,102,6997394,9235296,3332,14,9069.760,0.000,9076.480,0.000,27108.010,13525,178726,175753,2973,0,0,0,0,0,"Financial Year (Apr - Mar), 2011",2011
2011-12,TAMIL NADU,DHARMAPURI,250322,245782,41789,11447,192546,179697,191539,179621,191436,12326,178160,189838,6853,661,137028,6224014,33095,1247695,8037,207819,34,5935204,7679528,818,99,7433.400,0.000,7435.050,0.000,315901.670,12093,114151,113925,226,0,0,0,0,0,"Financial Year (Apr - Mar), 2011",2011
2011-12,UTTAR PRADESH,SAMBHAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,"Financial Year (Apr - Mar), 2011",2011
2011-12,RAJASTHAN,ALWAR,383479,382690,73377,47762,261551,119198,151446,119198,151446,48290,109531,137589,3275,95,66224,2227947,26524,955124,16783,557097,108,2371627,3740168,1001,368,3896.080,3234.380,3896.080,3307.600,89800.420,22681,19620,18979,641,32941071,278573,275407,3166,378091870,"Financial Year (Apr - Mar), 2011",2011
2011-12,PUNJAB,FARIDKOT,22418,22246,19929,5,2312,8641,11662,8641,11662,2189,8629,11635,111,3,515,13500,8112,202330,2,74,2,117043,215904,104,0,246.170,114.370,246.280,114.370,1338.350,2093,16253,14050,2203,18773307,2276,2091,185,1486518,"Financial Year (Apr - Mar), 2011",2011
2011-12,PUNJAB,BHATINDA,43407,43367,38304,2,5061,18691,23433,18689,23430,6269,18627,23328,186,11,2090,52070,16535,403046,2,24,833,254031,455140,163,0,609.080,388.510,610.290,388.510,9056.910,8635,9426,8852,574,16238691,28243,26590,1653,41471560,"Financial Year (Apr - Mar), 2011",2011
2011-12,PUNJAB,BARNALA,25709,25479,21115,0,4364,7718,8784,7718,8784,2298,7715,8775,44,28,702,19826,7013,195755,0,0,1,127643,215581,37,0,281.950,138.780,281.950,139.050,3402.170,1546,7199,6213,986,11112532,3221,2926,295,5922452,"Financial Year (Apr - Mar), 2011",2011
2011-12,PUNJAB,AMRITSAR,65353,65297,56165,8,9124,14706,16426,14706,16426,5812,14603,16297,163,13,1839,49685,12762,314804,2,79,8,49398,364568,134,0,532.560,630.300,533.070,630.300,5806535.010,5268,75290,62614,12676,35627524,7524,6445,1079,13635523,"Financial Year (Apr - Mar), 2011",2011
2011-12,PUDUCHERRY,PONDICHERRY,51687,51342,13012,73,38257,32501,38231,32501,38231,2412,32499,38218,171,18,23375,553365,9082,239758,42,1011,2,648595,794134,41,0,682.330,0.000,914.430,0.000,16724.020,1085,40031,39635,396,69296625,0,0,0,0,"Financial Year (Apr - Mar), 2011",2011
2014-15,DAMAN & DIU,DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,"Financial Year (Apr - Mar), 2014",2014
2011-12,PUDUCHERRY,KARAIKAL,15254,15207,5846,0,9361,10053,13124,10053,13123,1849,10047,13035,31,14,5597,152271,4450,132458,0,0,13,219375,284729,12,0,321.750,0.000,337.160,0.000,1104.870,3958,3562,3490,72,5872767,1,1,0,714,"Financial Year (Apr - Mar), 2011",2011
