Country,State lgd code,State,Year,YearCode,Households that applied for a job card (UOM:Number) |Scaling Factor:1,Job cards issued (UOM:Number) |Scaling Factor:1,Job cards issued for scheduled caste (UOM:Number) |Scaling Factor:1,Job cards issued for scheduled tribes (UOM:Number) |Scaling Factor:1,Job cards issued for non scheduled tribes or scheduled caste (UOM:Number) |Scaling Factor:1,Households that demanded work (UOM:Number) |Scaling Factor:1,Persons who demanded work (UOM:Number) |Scaling Factor:1,Households that were allotted work (UOM:Number) |Scaling Factor:1,Persons that were allotted work (UOM:Number) |Scaling Factor:1,Muster rolls filled (UOM:Number) |Scaling Factor:1,Households that worked under mahatma gandhi national rural employment guarantee act (mgnrega) (UOM:Number) |Scaling Factor:1,Persons that worked under mahatma gandhi national rural employment guarantee act (mgnrega) (UOM:Number) |Scaling Factor:1,Households that reached a 100 day limit (UOM:Number) |Scaling Factor:1,Persons with disability (UOM:Number) |Scaling Factor:1,Non scheduled tribes or scheduled caste households that worked (UOM:Number) |Scaling Factor:1,Total person days worked by non scheduled tribes or scheduled caste persons (UOM:Number) |Scaling Factor:1,Scheduled caste households that worked (UOM:Number) |Scaling Factor:1,Total person days worked scheduled caste persons (UOM:Number) |Scaling Factor:1,Scheduled tribe households that worked (UOM:Number) |Scaling Factor:1,Total person days worked scheduled tribe persons (UOM:Number) |Scaling Factor:1,Households that worked on land reform or indira awas yojana (UOM:Number) |Scaling Factor:1,Total person days worked by women (UOM:Number) |Scaling Factor:1,Total person days (UOM:Number) |Scaling Factor:1,Scheduled caste households that reached a 100 day limit (UOM:Number) |Scaling Factor:1,Scheduled tribe households that reached a 100 day limit (UOM:Number) |Scaling Factor:1,Labour expenditure that has been disbursed (UOM:INR(IndianRupees)) |Scaling Factor:100000,Material expenditure that has been disbursed (UOM:INR(IndianRupees)) |Scaling Factor:100000,Labour expenditure both disbursed and pending (UOM:INR(IndianRupees)) |Scaling Factor:100000,Material expenditure both disbursed and pending (UOM:INR(IndianRupees)) |Scaling Factor:100000,Amount sanctioned (UOM:INR(IndianRupees)) |Scaling Factor:100000,Works under mahatma gandhi national rural employment guarantee act (mgnrega) (UOM:Number) |Scaling Factor:1,Total bank accounts (UOM:Number) |Scaling Factor:1,Individual bank accounts (UOM:Number) |Scaling Factor:1,Joint bank accounts (UOM:Number) |Scaling Factor:1,Amount disbursed to bank accounts (UOM:INR(IndianRupees)) |Scaling Factor:1,Post office accounts (UOM:Number) |Scaling Factor:1,Individual post office accounts (UOM:Number) |Scaling Factor:1,Joint post office accounts (UOM:Number) |Scaling Factor:1,Amount disbursed to post office accounts (UOM:INR(IndianRupees)) |Scaling Factor:1
India,35,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",2020,33288.00000000000000000000,32543.00000000000000000000,4.00000000000000000000,4045.00000000000000000000,28494.00000000000000000000,8646.00000000000000000000,10853.00000000000000000000,8646.00000000000000000000,10853.00000000000000000000,7852.00000000000000000000,7728.00000000000000000000,9532.00000000000000000000,311.00000000000000000000,24.00000000000000000000,7361.00000000000000000000,246032.00000000000000000000,0.00000000000000000000,0.00000000000000000000,367.00000000000000000000,14904.00000000000000000000,0.00000000000000000000,142630.00000000000000000000,260936.00000000000000000000,0.00000000000000000000,0.00000000000000000000,581.18000000000000000000000,47.43000000000000000000000,960.14000000000000000000000,83.95000000000000000000000,14439996.64000000000000000000000,7373.00000000000000000000,37069.00000000000000000000,36634.00000000000000000000,435.00000000000000000000,58769127.00000000000000000000,66.00000000000000000000,66.00000000000000000000,0.00000000000000000000,0.00000000000000000000
India,28,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",2020,5724753.70662603481547275080,5546261.13032416337345896232,1323950.87938433102831984320,440113.78727298757258007524,3782196.46366684477255904388,3097820.76660780299740653600,5267359.37026635496623534918,2998597.04593900810347409652,5262875.90163083983021334624,4914636.00080043010247897146,2886521.78229169500918093660,4677250.14040483454061637600,506732.77377703683190557454,51908.94220062556294581754,1869979.79916654111608253620,101267683.45554363966221718652,703207.44367192088813798220,34373700.71523294235063620116,245260.79844215666167376156,16352556.50246154631573309200,499964.83587881758420715520,86989321.15794151429979107866,151993940.67323812832858647968,0.00000000000000000000,0.00000000000000000000,342896.68942383586757697727440,264394.27780054255117684859480,349147.96002448133102551437140,322874.16560827680738996123460,3611650.17596324505273068877980,6617516.47258508868986277892,4422973.16801163933504269952,4422833.07793399675202410118,140.09007764258301859834,21691981831.08013230959339772680,285167.12758886100088803848,285167.12758886100088803848,0.00000000000000000000,124870491.14386705149383156988
India,12,Arunachal Pradesh,"Financial Year (Apr - Mar), 2020",2020,186951.00000000000000000000,180667.00000000000000000000,52.00000000000000000000,174775.00000000000000000000,5840.00000000000000000000,165380.00000000000000000000,177339.00000000000000000000,165122.00000000000000000000,176978.00000000000000000000,41880.00000000000000000000,161345.00000000000000000000,172150.00000000000000000000,2588.00000000000000000000,426.00000000000000000000,5516.00000000000000000000,352052.00000000000000000000,41.00000000000000000000,1936.00000000000000000000,155788.00000000000000000000,9012766.00000000000000000000,0.00000000000000000000,4010964.00000000000000000000,9366754.00000000000000000000,0.00000000000000000000,0.00000000000000000000,26400.10000000000000000000000,8314.85000000000000000000000,26736.45000000000000000000000,15384.77000000000000000000000,6999346.27000000000000000000000,35499.00000000000000000000,200397.00000000000000000000,182272.00000000000000000000,18125.00000000000000000000,2889439426.00000000000000000000,917.00000000000000000000,911.00000000000000000000,6.00000000000000000000,6528.00000000000000000000
India,18,Assam,"Financial Year (Apr - Mar), 2020",2020,5291619.00000000000000000000,4834258.00000000000000000000,260822.00000000000000000000,740458.00000000000000000000,3832978.00000000000000000000,2461963.00000000000000000000,3657564.00000000000000000000,2461613.00000000000000000000,3656974.00000000000000000000,1727841.00000000000000000000,2274723.00000000000000000000,3257519.00000000000000000000,65089.00000000000000000000,5468.00000000000000000000,1814557.00000000000000000000,66723853.00000000000000000000,109406.00000000000000000000,3493876.00000000000000000000,350760.00000000000000000000,12127591.00000000000000000000,0.00000000000000000000,36034376.00000000000000000000,82345320.00000000000000000000,0.00000000000000000000,0.00000000000000000000,172475.74000000000000000000000,46246.50000000000000000000000,173943.00000000000000000000000,65211.96000000000000000000000,5264622.57000000000000000000000,2436970.00000000000000000000,6210237.00000000000000000000,5903762.00000000000000000000,306475.00000000000000000000,17006793703.00000000000000000000,273746.00000000000000000000,262419.00000000000000000000,11327.00000000000000000000,18630471.00000000000000000000
India,10,Bihar,"Financial Year (Apr - Mar), 2020",2020,20512485.00000000000000000000,18572620.00000000000000000000,3871790.00000000000000000000,287180.00000000000000000000,14413650.00000000000000000000,6208137.00000000000000000000,7324561.00000000000000000000,6199441.00000000000000000000,7312801.00000000000000000000,8550268.00000000000000000000,5121099.00000000000000000000,5879970.00000000000000000000,35250.00000000000000000000,9472.00000000000000000000,4431692.00000000000000000000,199768692.00000000000000000000,627379.00000000000000000000,26075106.00000000000000000000,62028.00000000000000000000,2697686.00000000000000000000,0.00000000000000000000,124866636.00000000000000000000,228541484.00000000000000000000,0.00000000000000000000,0.00000000000000000000,439710.34000000000000000000000,159290.19000000000000000000000,445285.47000000000000000000000,398942.97000000000000000000000,135477737.56000000000000000000000,15344232.00000000000000000000,11087347.00000000000000000000,10411235.00000000000000000000,676112.00000000000000000000,43118843251.00000000000000000000,3012.00000000000000000000,2919.00000000000000000000,93.00000000000000000000,934063.00000000000000000000
India,22,Chhattisgarh,"Financial Year (Apr - Mar), 2020",2020,4196022.00000000000000000000,3989919.00000000000000000000,427725.00000000000000000000,1266247.00000000000000000000,2295947.00000000000000000000,3395137.00000000000000000000,7233677.00000000000000000000,3394981.00000000000000000000,7233266.00000000000000000000,5003335.00000000000000000000,3005426.00000000000000000000,5911752.00000000000000000000,592973.00000000000000000000,38105.00000000000000000000,1734494.00000000000000000000,98683271.00000000000000000000,309620.00000000000000000000,16703260.00000000000000000000,961312.00000000000000000000,64445682.00000000000000000000,0.00000000000000000000,90894842.00000000000000000000,179832213.00000000000000000000,0.00000000000000000000,0.00000000000000000000,311558.16000000000000000000000,67688.13000000000000000000000,322020.70000000000000000000000,115455.66000000000000000000000,4154316.94000000000000000000000,3865856.00000000000000000000,7857399.00000000000000000000,7792955.00000000000000000000,64444.00000000000000000000,29785252234.00000000000000000000,152248.00000000000000000000,150668.00000000000000000000,1580.00000000000000000000,371896731.00000000000000000000
India,30,Goa,"Financial Year (Apr - Mar), 2020",2020,38010.00000000000000000000,34084.00000000000000000000,799.00000000000000000000,10034.00000000000000000000,23251.00000000000000000000,4227.00000000000000000000,4429.00000000000000000000,4225.00000000000000000000,4427.00000000000000000000,1343.00000000000000000000,4169.00000000000000000000,4365.00000000000000000000,10.00000000000000000000,0.00000000000000000000,2139.00000000000000000000,55353.00000000000000000000,132.00000000000000000000,4682.00000000000000000000,1898.00000000000000000000,49539.00000000000000000000,0.00000000000000000000,83869.00000000000000000000,109574.00000000000000000000,0.00000000000000000000,0.00000000000000000000,234.24000000000000000000000,85.11000000000000000000000,310.94000000000000000000000,91.44000000000000000000000,1017.93000000000000000000000,6030.00000000000000000000,20809.00000000000000000000,20558.00000000000000000000,251.00000000000000000000,23422184.00000000000000000000,5.00000000000000000000,5.00000000000000000000,0.00000000000000000000,0.00000000000000000000
India,24,Gujarat,"Financial Year (Apr - Mar), 2020",2020,3840977.00000000000000000000,3542793.00000000000000000000,225722.00000000000000000000,1296566.00000000000000000000,2020505.00000000000000000000,1202077.00000000000000000000,2207668.00000000000000000000,1200512.00000000000000000000,2204496.00000000000000000000,607866.00000000000000000000,973069.00000000000000000000,1654848.00000000000000000000,14524.00000000000000000000,11160.00000000000000000000,508539.00000000000000000000,22443731.00000000000000000000,52162.00000000000000000000,2368555.00000000000000000000,412368.00000000000000000000,16474098.00000000000000000000,0.00000000000000000000,19583062.00000000000000000000,41286384.00000000000000000000,0.00000000000000000000,0.00000000000000000000,82140.83000000000000000000000,26871.02000000000000000000000,82297.46000000000000000000000,37546.72000000000000000000000,21727671.72000000000000000000000,1600227.00000000000000000000,3284133.00000000000000000000,2942727.00000000000000000000,341406.00000000000000000000,7681119059.00000000000000000000,473505.00000000000000000000,316052.00000000000000000000,157453.00000000000000000000,5047644.00000000000000000000
India,6,Haryana,"Financial Year (Apr - Mar), 2020",2020,1119121.00000000000000000000,1118086.00000000000000000000,438923.00000000000000000000,1.00000000000000000000,679162.00000000000000000000,517608.00000000000000000000,770413.00000000000000000000,516910.00000000000000000000,769543.00000000000000000000,208286.00000000000000000000,452448.00000000000000000000,644769.00000000000000000000,14012.00000000000000000000,746.00000000000000000000,259491.00000000000000000000,11363458.00000000000000000000,192957.00000000000000000000,6462546.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,8708160.00000000000000000000,17826004.00000000000000000000,0.00000000000000000000,0.00000000000000000000,54468.87000000000000000000000,21176.29000000000000000000000,54896.23000000000000000000000,35143.59000000000000000000000,871922.79000000000000000000000,356279.00000000000000000000,1359710.00000000000000000000,1312781.00000000000000000000,46929.00000000000000000000,4987443510.00000000000000000000,41843.00000000000000000000,38907.00000000000000000000,2936.00000000000000000000,486370055.00000000000000000000
India,2,Himachal Pradesh,"Financial Year (Apr - Mar), 2020",2020,1377018.00000000000000000000,1335945.00000000000000000000,348475.00000000000000000000,82358.00000000000000000000,905112.00000000000000000000,672730.00000000000000000000,960873.00000000000000000000,672610.00000000000000000000,960622.00000000000000000000,478539.00000000000000000000,636638.00000000000000000000,891636.00000000000000000000,89173.00000000000000000000,1652.00000000000000000000,422122.00000000000000000000,21828479.00000000000000000000,166724.00000000000000000000,8758045.00000000000000000000,47792.00000000000000000000,3033249.00000000000000000000,0.00000000000000000000,20525943.00000000000000000000,33619773.00000000000000000000,0.00000000000000000000,0.00000000000000000000,65821.38000000000000000000000,26010.33000000000000000000000,65874.69000000000000000000000,39440.73000000000000000000000,2323762.74000000000000000000000,1234108.00000000000000000000,1651786.00000000000000000000,1601853.00000000000000000000,49933.00000000000000000000,6483297246.00000000000000000000,7724.00000000000000000000,7570.00000000000000000000,154.00000000000000000000,5474619.00000000000000000000
