ROWID,Country,State lgd code,State,District lgd code,District,Block lgd code,Block,YearCode,Year,Maintenance cost for the road,Road length of state and district,Sanction cost granted by ministry of rural development to for road construction,Total work done for each state in terms of habitations connected
1,India,1,Jammu And Kashmir,1,Anantnag,3,Dachnipora,2001,"Calendar Year (Jan - Dec), 2001",0,2.7700000000000000,66.9700000000000000000000,1.00000000000000000000
2,India,1,Jammu And Kashmir,1,Anantnag,3,Dachnipora,2004,"Calendar Year (Jan - Dec), 2004",0,2.00000000000000,32.4800000000000000000000,1.00000000000000000000
3,India,1,Jammu And Kashmir,1,Anantnag,3,Dachnipora,2006,"Calendar Year (Jan - Dec), 2006",7.6,9.900000000000000,366.1700000000000000000000,3.00000000000000000000
4,India,1,Jammu And Kashmir,1,Anantnag,3,Dachnipora,2007,"Calendar Year (Jan - Dec), 2007",23.44,26.00000000000000,1226.6100000000000000000000,9.00000000000000000000
5,India,1,Jammu And Kashmir,1,Anantnag,3,Dachnipora,2011,"Calendar Year (Jan - Dec), 2011",75.2,19.500000000000000,1065.3300000000000000000000,7.00000000000000000000
6,India,1,Jammu And Kashmir,1,Anantnag,3,Dachnipora,2012,"Calendar Year (Jan - Dec), 2012",9.6,3.300000000000000,159.9600000000000000000000,1.00000000000000000000
7,India,1,Jammu And Kashmir,1,Anantnag,3,Dachnipora,2016,"Calendar Year (Jan - Dec), 2016",0,6.800000000000000,521.200000000000000000000,3.00000000000000000000
8,India,1,Jammu And Kashmir,1,Anantnag,3,Dachnipora,2017,"Calendar Year (Jan - Dec), 2017",0,8.0200000000000000,603.4900000000000000000000,2.00000000000000000000
9,India,1,Jammu And Kashmir,1,Anantnag,3,Dachnipora,2018,"Calendar Year (Jan - Dec), 2018",91.94,13.8200000000000000,919.6600000000000000000000,5.00000000000000000000
10,India,1,Jammu And Kashmir,1,Anantnag,6861,Anantnag,2001,"Calendar Year (Jan - Dec), 2001",0,1.9000000000000000,55.4800000000000000000000,1.00000000000000000000
11,India,1,Jammu And Kashmir,1,Anantnag,6861,Anantnag,2007,"Calendar Year (Jan - Dec), 2007",12.46,8.5000000000000000,491.3800000000000000000000,5.00000000000000000000
12,India,1,Jammu And Kashmir,1,Anantnag,6861,Anantnag,2011,"Calendar Year (Jan - Dec), 2011",19.13,5.25000000000000000,273.2300000000000000000000,3.00000000000000000000
13,India,1,Jammu And Kashmir,1,Anantnag,6861,Anantnag,2012,"Calendar Year (Jan - Dec), 2012",3.3,1.000000000000000,55.0700000000000000000000,1.00000000000000000000
14,India,1,Jammu And Kashmir,1,Anantnag,6861,Anantnag,2018,"Calendar Year (Jan - Dec), 2018",337.7844370941312,29.9529322680408495,3298.7308123444801845141306,5.76807064392789949630
15,India,1,Jammu And Kashmir,1,Anantnag,7020,Bijibehara,2006,"Calendar Year (Jan - Dec), 2006",0.6,2.000000000000000,67.800000000000000000000,1.00000000000000000000
16,India,1,Jammu And Kashmir,1,Anantnag,7020,Bijibehara,2016,"Calendar Year (Jan - Dec), 2016",327.19,37.1000000000000000,4089.5700000000000000000000,4.00000000000000000000
17,India,1,Jammu And Kashmir,1,Anantnag,7020,Bijibehara,2017,"Calendar Year (Jan - Dec), 2017",0,2.000000000000000,158.3100000000000000000000,1.00000000000000000000
18,India,1,Jammu And Kashmir,1,Anantnag,7020,Bijibehara,2018,"Calendar Year (Jan - Dec), 2018",219.93556290586878,25.6470677319591750,2054.3191876555198154858694,5.23192935607210050370
19,India,1,Jammu And Kashmir,1,Anantnag,7021,Chathergul,2004,"Calendar Year (Jan - Dec), 2004",0,2.24999999999999775,63.1100000000000000000000,1.00000000000000000000
20,India,1,Jammu And Kashmir,1,Anantnag,7021,Chathergul,2006,"Calendar Year (Jan - Dec), 2006",117.55,24.999999999999975,2017.4500000000000000000000,2.00000000000000000000
